0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,epoxy_CLTE,fibre_diameter (mm),fibre_num,fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,fibre_CLTE1,fibre_CLTE2,fibre_CLTE3,E1,E2,E3,G12,G23,G13,v12,v23,v13,CLTE1,CLTE2,CLTE3
0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0.438875658,0.300934669,0.850722476,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,36606000000,36451000000,34138000000,12002000000,11692000000,11717000000,0.3013,0.3625,0.3601,3.53E-05,3.55E-05,4.38E-05
1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0.717567042,0.381814028,1.116224799,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40841000000,40739000000,38073000000,13562000000,12799000000,12841000000,0.2849,0.3447,0.3433,3.04E-05,3.06E-05,4.02E-05
0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.563218959,0.29599287,0.928406894,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40280000000,40092000000,37437000000,13446000000,12533000000,12516000000,0.2871,0.3485,0.3456,3.09E-05,3.10E-05,4.15E-05
1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0.5418233,0.17485519,0.974231195,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39262000000,39231000000,36193000000,13343000000,11545000000,11587000000,0.2875,0.3543,0.3539,3.14E-05,3.15E-05,4.63E-05
0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0.520252809,0.329864181,0.863434361,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40065000000,39803000000,37301000000,13224000000,12762000000,12722000000,0.2887,0.3495,0.3455,3.13E-05,3.15E-05,4.03E-05
0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0.33778975,0.154516261,0.562201548,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40174000000,40065000000,37235000000,13544000000,12311000000,12362000000,0.286,0.3494,0.348,3.07E-05,3.09E-05,4.26E-05
0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0.987552553,0.190738032,1.567464309,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41608000000,41557000000,38442000000,14291000000,11817000000,11845000000,0.2813,0.3423,0.3418,2.90E-05,2.92E-05,4.55E-05
1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0.500549698,0.179056981,0.907226573,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38953000000,38810000000,35865000000,13174000000,11596000000,11604000000,0.2889,0.3569,0.3549,3.18E-05,3.21E-05,4.60E-05
1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0.745722777,0.114870291,1.489991275,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,35482000000,35491000000,33185000000,11661000000,10134000000,10145000000,0.3088,0.3616,0.3618,3.64E-05,3.64E-05,5.17E-05
1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0.834600035,0.287225694,1.508225176,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,39038000000,38952000000,35977000000,13226000000,11563000000,11597000000,0.2886,0.3557,0.3546,3.17E-05,3.19E-05,4.61E-05
1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0.928792301,0.35815056,1.430669996,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41233000000,41132000000,38223000000,13851000000,12519000000,12545000000,0.282,0.3449,0.3435,2.97E-05,3.00E-05,4.17E-05
0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0.653762262,0.229288447,1.220766897,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,38305000000,38204000000,35267000000,12947000000,11339000000,11366000000,0.291,0.3593,0.3579,3.24E-05,3.27E-05,4.70E-05
0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.641224935,0.195863694,1.276562023,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,35346000000,35355000000,32893000000,11680000000,10446000000,10462000000,0.3057,0.3659,0.3661,3.64E-05,3.65E-05,4.99E-05
1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0.335732135,0.318674787,0.509379679,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41816000000,41296000000,39730000000,13446000000,13717000000,13671000000,0.2922,0.3345,0.3271,3.04E-05,3.12E-05,3.52E-05
0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0.895120177,0.311075212,1.370228134,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,41385000000,41284000000,38333000000,13966000000,12429000000,12457000000,0.2815,0.3442,0.343,2.95E-05,2.98E-05,4.22E-05
1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0.275986179,0.198632036,0.432845435,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,40926000000,40652000000,38443000000,13414000000,13180000000,13207000000,0.2889,0.3421,0.3382,3.07E-05,3.11E-05,3.81E-05
0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0.230276914,0.130746845,0.45508221,20000,0.4,6.00E-05,0.017,3000,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,5.00E-06,5.00E-06,5.00E-06,35565000000,35595000000,33177000000,11756000000,11141000000,11196000000,0.3039,0.3655,0.366,3.63E-05,3.63E-05,4.63E-05
